Status,Sample File,Sample Name,Comments,Analysis Method,Panel,Size Standard,Run Name,REF,SQI,SFNF,SQ,UD1,UD2,UD3,Plate,Lane, Well,Marker,Allele 1,Allele 2,Allele 3,Allele 4,Allele 5,Allele 6,Size 1,Size 2,Size 3,Size 4,Size 5,Size 6
TRUE,Box3-E3-RA_18-8_J13.fsa,Box3-E3-RA_18-8,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,725_,B02,053_,Apple2019_Box5-6_Plate1-2_PM1r,55,J13,,,,,,,,,,,,,
TRUE,Box2-C6-PR_16-3_J14.fsa,Box2-C6-PR_16-3,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,629_,B01,053_,Apple2019_Box5-6_Plate1-2_PM1r,55,J14,,,,,,,,,,,,,
TRUE,Box3-E4-KL_28-2_J15.fsa,Box3-E4-KL_28-2,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,733_,B02,061_,Apple2019_Box5-6_Plate1-2_PM1r,56,J15,,,,,,,,,,,,,
TRUE,Box2-C7-RA_01-9_J16.fsa,Box2-C7-RA_01-9,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,637_,B01,061_,Apple2019_Box5-6_Plate1-2_PM1r,56,J16,,,,,,,,,,,,,
TRUE,Box3-E5-PR_30-10_J17.fsa,Box3-E5-PR_30-10,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,741_,B02,069_,Apple2019_Box5-6_Plate1-2_PM1r,71,J17,,,,,,,,,,,,,
TRUE,Box2-C8-RA_25-16_J18.fsa,Box2-C8-RA_25-16,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,645_,B01,069_,Apple2019_Box5-6_Plate1-2_PM1r,71,J18,,,,,,,,,,,,,
TRUE,Box3-E6-PR_30-12_J19.fsa,Box3-E6-PR_30-12,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,749_,B02,077_,Apple2019_Box5-6_Plate1-2_PM1r,72,J19,,,,,,,,,,,,,
TRUE,Box2-C9-KL_19-2_J20.fsa,Box2-C9-KL_19-2,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,653_,B01,077_,Apple2019_Box5-6_Plate1-2_PM1r,72,J20,,,,,,,,,,,,,
TRUE,Box3-E7-PR_30-14_J21.fsa,Box3-E7-PR_30-14,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,757_,B02,085_,Apple2019_Box5-6_Plate1-2_PM1r,87,J21,,,,,,,,,,,,,
TRUE,Box2-D1-KN_12-26_J22.fsa,Box2-D1-KN_12-26,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,661_,B01,085_,Apple2019_Box5-6_Plate1-2_PM1r,87,J22,,,,,,,,,,,,,
TRUE,Box3-E8-KL_28-9_J23.fsa,Box3-E8-KL_28-9,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,765_,B02,093_,Apple2019_Box5-6_Plate1-2_PM1r,88,J23,,,,,,,,,,,,,
TRUE,Box2-D2-RA_01-6_J24.fsa,Box2-D2-RA_01-6,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,669_,B01,093_,Apple2019_Box5-6_Plate1-2_PM1r,88,J24,,,,,,,,,,,,,
